id_productora,nombre_productora,pais,inicio_actividades,contacto_productora
93,Eventos luis maturana ortega e.i.r.l,CHILE,1987-01-15,56926172560
94,MCA,AUSTRALIA,1996-08-16,6178001589
95,Cultura ciudadana,CHILE,1999-11-14,56955784400
96,Grupo previa s.a.,CHILE,1986-03-12,56980793306
97,manatua.nz,NUEVA ZELANDA,2004-09-25,6436087029
98,Mundo Epika,BRASIL,1997-09-16,55922519509
99,Lets Dance,NUEVA ZELANDA,2005-12-26,6477349795
100,Comercial cueto balmaceda limitada,CHILE,2001-05-02,56946319019
101,Productora babilonia limitada,CHILE,1981-12-12,56968204722
102,T4F ENTRETENIMIENTOS ARGENTINA,ARGENTINA,1985-12-03,54931160829
103,Entretenciones jovi limitada,CHILE,2009-07-14,56946191670
104,Event Management NZ,NUEVA ZELANDA,1987-10-28,6445721253
105,IndyRock,ESPAÑA,1994-05-25,34911917911
106,LA CRYPTA S.A.,ARGENTINA,1981-11-08,54996544614
107,Canada Eventos,CANADA,2007-04-10,1457882270
108,Noix producciones limitada,CHILE,1982-03-27,56953718355
109,Productora energy in motion limitada,CHILE,2001-03-15,56935087505
110,MGC,ALEMANIA,1990-07-24,4985708353
111,TONICAS PRODUCCIONES,ARGENTINA,1991-04-04,54969001174
112,ARIEL DIWAN PRODUCCIONES S.R.L.,ARGENTINA,2002-09-06,54995594838
113,Yataco,BRASIL,1995-04-06,55959997398
114,Trimade eventos limitada,CHILE,1985-06-06,56930524173
115,Huma Producciones,COLOMBIA,1993-12-29,57997410324
116,Ultrabeatman Entretenimiento Puro,BRASIL,2006-02-07,55946667054
117,Urban Music,BRASIL,1997-04-12,55940395819
118,Glovox producciones limitada,CHILE,1988-05-28,56999913708
119,Capsule producciones spa,CHILE,1992-07-09,56936344167
120,FEG ENTRETENIMIENTOS,ARGENTINA,1980-05-27,54942915097
121,Global Journey,BELGICA,1995-05-28,3249809958
122,Sydney WorldPride,AUSTRALIA,1994-10-11,6136289616
123,Producciones y eventos empire digital limitada,CHILE,2005-12-13,56939058051
124,LINO PATALANO,ARGENTINA,1994-08-13,54985244788
125,YouTOOProject,AUSTRALIA,2002-10-11,6197338356
126,Centro de eventos dona sofia,CHILE,1987-02-01,56970591810
127,EL VASCO PRODUCCIONES,ARGENTINA,2009-01-21,54932741531
128,Freedom Eventos,COLOMBIA,1995-07-27,57956812388
129,Privadate,COLOMBIA,2003-03-22,57930188930
130,Millie Millgate,AUSTRALIA,1990-09-07,6145268664
131,Sociedad comercial metapega producciones limitada,CHILE,1996-05-28,56911866081
132,El trebol,CHILE,1991-08-23,56911768392
133,Productora chile espectaculos,CHILE,2005-11-25,56915189726
134,Tolten eventos,CHILE,1983-11-13,56994508547
135,BRL Eventos,BRASIL,2010-10-15,55946915045
136,C&m musicos - musica y asesorias musicales,CHILE,2010-04-17,56982842595
137,Carlos alberto perez alegria productora de eventos e.i.r.l,CHILE,1980-12-09,56910378232
138,Producciones musicales massivo reccords limitada,CHILE,1985-08-05,56921335246
139,KahnEvents GmbH,ALEMANIA,1983-05-11,4948350929
140,Actividades de entretenimiento n.c. p fabiola patricia fabres cerda em,CHILE,2010-11-09,56961071697
141,Recreo producciones spa,CHILE,2001-10-05,56986784895
142,Kibon video,CHILE,2001-03-23,56992881968
143,Centro de eventos aravena malloco,CHILE,2001-11-04,56968775108
144,Mayam Producciones,CANADA,1998-02-05,1877868821
145,Iragons Party,COLOMBIA,1995-03-05,57928123436
146,Globscorp,BRASIL,1990-05-17,55982981217
147,ARTES Y EVENTOS INTERNACIONALES S.A.,ARGENTINA,1994-08-18,54944396477
148,G & t business group spa,CHILE,1985-01-04,56963587382
149,Alto la torre,CHILE,2003-07-16,56911128539
150,Universal circus,CHILE,2002-07-29,56975740091
151,CMG Audio Visual,AUSTRALIA,1999-01-07,6147759107
152,Queenstown Event Company,NUEVA ZELANDA,2010-05-23,6495091750
153,Club providencia,CHILE,1994-02-25,56978193322
154,Fg producciones,CHILE,1988-06-24,56973651106
155,Factor Eventos,COLOMBIA,1999-01-19,57996885255
156,PIEDRA MALA PRODUCCIONES,ARGENTINA,1982-08-24,54975092425
157,Producciones seven time entertainment group limitada,CHILE,1993-03-21,56931242846
158,Bierlinerin,ALEMANIA,2009-09-10,4954523627
159,The Imagos,ESTADOS UNIDOS,1980-02-27,124187449
160,DG Medios y espectaculos s.a.,CHILE,2005-09-17,56916238624
161,Sinstress Eventos,COLOMBIA,1995-12-09,57949881782
162,UN PLAN PRODUCCIONES,ARGENTINA,2004-12-29,54917532684
163,Animationphoenix,COLOMBIA,2003-04-10,57972352799
164,Palma y compania limitada,CHILE,2008-05-10,56966913535
165,Venue Hire Sydney,AUSTRALIA,1982-08-24,6136093629
166,GRUS,ARGENTINA,2007-01-19,54981582961
167,Wow.cl,CHILE,1991-06-18,56934542284
168,Time for fun (t4f),CHILE,2004-09-04,56910802591
169,BLAO,ARGENTINA,1980-01-07,54928648174
170,EventsEye,CANADA,2001-03-08,1705851779
171,ATOMIC FILMS,ARGENTINA,1999-10-30,54940539638
172,Yellow House,CHILE,1989-06-09,56958868610
173,Club de la union,CHILE,2000-11-16,56991030024
174,Weise y asociados limitada,CHILE,2000-01-17,56966193097
175,Los Angeles AV Production,ESTADOS UNIDOS,2008-07-08,129530188
176,X Producciones,CHILE,1987-07-29,56948374098
177,T-entertainment multi producciones  (sebastian torres cortes e.i.r.l).,CHILE,1999-12-29,56988565029
178,Lotus festival s.a.,CHILE,1999-03-22,56950372617
179,Nikkita producciones spa,CHILE,1993-07-12,56996308812
180,Vision world producciones limitada,CHILE,2010-02-28,56938300005
181,Street machine producciones s.a.,CHILE,1996-09-25,56974818372
182,Live Nation,ESPAÑA,2003-06-05,34997188733
183,Nachhaltige Events,ALEMANIA,1998-10-19,4972642958
184,AVANT GARDE RP,COLOMBIA,1984-04-18,57950600008
185,Top Brand,COLOMBIA,2001-08-29,57917249010
186,Planet Events,ESPAÑA,2007-02-13,34984529788
187,Cream entertainment group spa,CHILE,1984-11-14,56961661911
188,Eveerlast Productions INC.,ESTADOS UNIDOS,1983-03-06,151359131
189,903,COLOMBIA,1987-08-25,57950601431
190,Dedalo producciones,CHILE,1984-12-06,56991289186
191,Dreams - eventos,CHILE,2001-01-03,56924340198
192,PRELUDIO PRODUCCIONES S.A.,ARGENTINA,1981-06-26,54934555158
193,Event Production Company,ESTADOS UNIDOS,2003-12-16,114142196
194,Tyg Eventos y Producciones,COLOMBIA,1992-06-24,57991126789
195,Top Bruselas,BELGICA,1993-05-29,3259496452
196,PALERMO FILMS S.A.,ARGENTINA,2005-05-29,54919305242
197,FMG PRODUCCIONES,ARGENTINA,2008-07-14,54986502163
198,Corral y asociados limitada,CHILE,2008-04-30,56931452617
199,Eventos comunidad ombligo limitada,CHILE,2002-06-06,56938037004
200,Ibolele Producciones,ESPAÑA,1983-10-21,34969809830
201,Leading Event Agency,NUEVA ZELANDA,2003-07-09,6487891147
202,Torres petronas spa,CHILE,1993-06-03,56975727061
203,Eventos Toronto Shaddai,CANADA,1999-03-12,1367905800
204,Ye & Ca Producciones,COLOMBIA,1980-12-14,57990126019
205,Wlaceventos,CHILE,1988-08-27,56912686146
206,BDD Producciones,CHILE,1996-04-17,56978907370
207,Global producciones spa,CHILE,1995-06-02,56945526874
208,Producciones Baltimore,ESPAÑA,2004-06-08,34933143000
209,Event Hire Sydney,AUSTRALIA,2006-08-07,6143432453
210,Eventos y producciones evolucion s.a,CHILE,1993-04-02,56959998762
211,AS Relaciones Publicas,COLOMBIA,1990-11-29,57991470816
212,Ee - servicio de eventos,CHILE,1981-11-27,56994376160
213,Centro eventos torres de paine,CHILE,1990-11-19,56965706463
214,Mouro Producciones,ESPAÑA,1989-10-10,34987009709
215,Centro de convenciones santiago s.a.,CHILE,1984-03-22,56952535504
216,Janos Eventos,BRASIL,1999-05-30,55951440068
217,ROT Entertainment,COLOMBIA,2009-08-28,57976489405
218,Ais producciones,CHILE,2002-12-24,56987054160
219,Carlos lopez vega productora de eventos,CHILE,1983-10-09,56945993224
220,Chocolate stage s.a.,CHILE,1994-02-04,56917441369
221,Hispagenda,BELGICA,1985-10-21,3213773242
222,Soc giacaman y cia ltda,CHILE,1999-04-25,56928442521
223,Ethno Nueva Zelanda,NUEVA ZELANDA,1988-01-25,6416660401
224,MGC,AUSTRALIA,1989-03-02,6111002225
225,MEDIOS Y CONTENIDOS PRODUCCIONES,ARGENTINA,1987-07-26,54977963788
226,ATIPICA,ARGENTINA,2007-04-08,54954578274
227,Medios y contenidos producciones de chile s.a.,CHILE,1998-10-03,56965187907
228,Virtualia (productora de eventos),CHILE,1982-12-25,56920544795
229,Expat,BELGICA,1991-04-23,3265898429
230,GL events,BELGICA,1994-05-14,3227268105
231,AP Eventos,COLOMBIA,1992-08-04,57938839736
232,Sociedad comercial mk pro limitada,CHILE,1984-10-06,56980076583
233,Ramasso Productora,ARGENTINA,1986-03-16,54961624158
234,Andeschimp spa,CHILE,1992-12-23,56966594257
235,ESTADIUM LUNA PARK,ARGENTINA,1996-05-09,54935383652
236,Latitud music spa,CHILE,1988-08-07,56985573340
237,Comercial audio tec limitada,CHILE,1985-12-13,56950832829
238,COMPAÑÍA ARGENTINA DE SUEÑOS,ARGENTINA,1994-08-25,54950205631
